,hour,N_clicks,N_impressions,CTR,datetime,date
0,14102100,20792,119006,0.17471387997243837,2014-10-21 00:00:00,2014-10-21
1,14102101,23873,137442,0.17369508592715474,2014-10-21 01:00:00,2014-10-21
2,14102102,31265,207471,0.15069575988933392,2014-10-21 02:00:00,2014-10-21
3,14102103,32830,193355,0.1697913164903933,2014-10-21 03:00:00,2014-10-21
4,14102104,40026,264711,0.1512064100094065,2014-10-21 04:00:00,2014-10-21
5,14102105,40709,273500,0.14884460694698354,2014-10-21 05:00:00,2014-10-21
6,14102106,38657,239720,0.16125896879692975,2014-10-21 06:00:00,2014-10-21
7,14102107,35531,209311,0.1697521869371414,2014-10-21 07:00:00,2014-10-21
8,14102108,35220,207244,0.16994460635772327,2014-10-21 08:00:00,2014-10-21
9,14102109,37802,230917,0.16370384164006982,2014-10-21 09:00:00,2014-10-21
10,14102110,35694,200028,0.17844501769752236,2014-10-21 10:00:00,2014-10-21
11,14102111,35476,175666,0.20195143055571368,2014-10-21 11:00:00,2014-10-21
12,14102112,28775,143620,0.20035510374599638,2014-10-21 12:00:00,2014-10-21
13,14102113,35425,190481,0.18597655409200917,2014-10-21 13:00:00,2014-10-21
14,14102114,35168,174531,0.20150002005374404,2014-10-21 14:00:00,2014-10-21
15,14102115,34080,176156,0.1934648833988056,2014-10-21 15:00:00,2014-10-21
16,14102116,33469,171869,0.19473552531288366,2014-10-21 16:00:00,2014-10-21
17,14102117,32557,171933,0.18935864551889398,2014-10-21 17:00:00,2014-10-21
18,14102118,27470,152365,0.1802907491878056,2014-10-21 18:00:00,2014-10-21
19,14102119,20201,119775,0.16865790022959717,2014-10-21 19:00:00,2014-10-21
20,14102120,18195,112017,0.1624307024826589,2014-10-21 20:00:00,2014-10-21
21,14102121,15205,89501,0.16988636998469292,2014-10-21 21:00:00,2014-10-21
22,14102122,15883,88436,0.17959880591614275,2014-10-21 22:00:00,2014-10-21
23,14102123,13915,73940,0.18819312956451176,2014-10-21 23:00:00,2014-10-21
24,14102200,14334,78006,0.18375509576186447,2014-10-22 00:00:00,2014-10-22
25,14102201,19198,100611,0.19081412569202175,2014-10-22 01:00:00,2014-10-22
26,14102202,19847,102844,0.19298160320485394,2014-10-22 02:00:00,2014-10-22
27,14102203,25464,137006,0.18586047326394464,2014-10-22 03:00:00,2014-10-22
28,14102204,34377,200948,0.17107410872464518,2014-10-22 04:00:00,2014-10-22
29,14102205,41921,286697,0.14622057433457622,2014-10-22 05:00:00,2014-10-22
30,14102206,46227,288819,0.16005525952239985,2014-10-22 06:00:00,2014-10-22
31,14102207,39586,212323,0.18644235433749523,2014-10-22 07:00:00,2014-10-22
32,14102208,46487,322803,0.1440104336081139,2014-10-22 08:00:00,2014-10-22
33,14102209,62410,447783,0.1393755457442556,2014-10-22 09:00:00,2014-10-22
34,14102210,61188,438270,0.13961256759531795,2014-10-22 10:00:00,2014-10-22
35,14102211,52218,386757,0.13501500942452238,2014-10-22 11:00:00,2014-10-22
36,14102212,56117,408650,0.13732289245075247,2014-10-22 12:00:00,2014-10-22
37,14102213,43191,323480,0.13351984666749103,2014-10-22 13:00:00,2014-10-22
38,14102214,34625,185611,0.18654605599883628,2014-10-22 14:00:00,2014-10-22
39,14102215,34560,185381,0.18642687222530896,2014-10-22 15:00:00,2014-10-22
40,14102216,32268,184316,0.17506890340502182,2014-10-22 16:00:00,2014-10-22
41,14102217,34966,196912,0.17757170715852766,2014-10-22 17:00:00,2014-10-22
42,14102218,34708,205756,0.16868523882657127,2014-10-22 18:00:00,2014-10-22
43,14102219,27798,173603,0.1601239609914575,2014-10-22 19:00:00,2014-10-22
44,14102220,22676,144375,0.15706320346320346,2014-10-22 20:00:00,2014-10-22
45,14102221,20425,123826,0.16494920291376608,2014-10-22 21:00:00,2014-10-22
46,14102222,18322,109372,0.1675200234063563,2014-10-22 22:00:00,2014-10-22
47,14102223,15907,92977,0.17108532217645225,2014-10-22 23:00:00,2014-10-22
48,14102300,16954,89341,0.1897672960902609,2014-10-23 00:00:00,2014-10-23
49,14102301,19761,102258,0.19324649416182596,2014-10-23 01:00:00,2014-10-23
50,14102302,30643,147980,0.20707528044330314,2014-10-23 02:00:00,2014-10-23
51,14102303,32719,175094,0.1868653409026009,2014-10-23 03:00:00,2014-10-23
52,14102304,47056,273173,0.1722571410790964,2014-10-23 04:00:00,2014-10-23
53,14102305,39814,234524,0.16976514130749945,2014-10-23 05:00:00,2014-10-23
54,14102306,24792,138628,0.1788383299189197,2014-10-23 06:00:00,2014-10-23
55,14102307,30315,160004,0.189464013399665,2014-10-23 07:00:00,2014-10-23
56,14102308,38330,232430,0.16490986533580002,2014-10-23 08:00:00,2014-10-23
57,14102309,35158,185193,0.1898451885330439,2014-10-23 09:00:00,2014-10-23
58,14102310,33612,162806,0.2064543075808017,2014-10-23 10:00:00,2014-10-23
59,14102311,32980,161494,0.20421811336644086,2014-10-23 11:00:00,2014-10-23
60,14102312,32150,152413,0.2109400116787938,2014-10-23 12:00:00,2014-10-23
61,14102313,31945,162221,0.19692271654101504,2014-10-23 13:00:00,2014-10-23
62,14102314,33164,173837,0.19077641698832815,2014-10-23 14:00:00,2014-10-23
63,14102315,41449,246297,0.16828869210749622,2014-10-23 15:00:00,2014-10-23
64,14102316,33141,178192,0.18598478046152464,2014-10-23 16:00:00,2014-10-23
65,14102317,30402,158332,0.19201424854104035,2014-10-23 17:00:00,2014-10-23
66,14102318,28757,157759,0.18228437046380871,2014-10-23 18:00:00,2014-10-23
67,14102319,22387,132883,0.16847151253358217,2014-10-23 19:00:00,2014-10-23
68,14102320,20065,133045,0.15081363448457288,2014-10-23 20:00:00,2014-10-23
69,14102321,17159,116964,0.14670325912246504,2014-10-23 21:00:00,2014-10-23
70,14102322,16754,105652,0.15857721576496422,2014-10-23 22:00:00,2014-10-23
71,14102323,15704,90232,0.17404025179537194,2014-10-23 23:00:00,2014-10-23
72,14102400,14753,82137,0.17961454642852795,2014-10-24 00:00:00,2014-10-24
73,14102401,17633,94622,0.1863520111601953,2014-10-24 01:00:00,2014-10-24
74,14102402,25082,125003,0.2006511843715751,2014-10-24 02:00:00,2014-10-24
75,14102403,22477,123845,0.1814929952763535,2014-10-24 03:00:00,2014-10-24
76,14102404,27397,161530,0.1696093604903114,2014-10-24 04:00:00,2014-10-24
77,14102405,28788,168185,0.17116865356601363,2014-10-24 05:00:00,2014-10-24
78,14102406,29692,169842,0.17482130450654138,2014-10-24 06:00:00,2014-10-24
79,14102407,32468,181603,0.17878559274901845,2014-10-24 07:00:00,2014-10-24
80,14102408,31470,173242,0.18165340968125512,2014-10-24 08:00:00,2014-10-24
81,14102409,29049,167755,0.1731632440165718,2014-10-24 09:00:00,2014-10-24
82,14102410,25579,146693,0.17437096521306403,2014-10-24 10:00:00,2014-10-24
83,14102411,24938,135783,0.18366069390129838,2014-10-24 11:00:00,2014-10-24
84,14102412,34624,188407,0.1837723651456687,2014-10-24 12:00:00,2014-10-24
85,14102413,35374,189058,0.1871066022067302,2014-10-24 13:00:00,2014-10-24
86,14102414,40267,217145,0.18543830159570793,2014-10-24 14:00:00,2014-10-24
87,14102415,38698,206683,0.1872335896034023,2014-10-24 15:00:00,2014-10-24
88,14102416,41191,252154,0.16335652022176925,2014-10-24 16:00:00,2014-10-24
89,14102417,41455,262579,0.15787629627654914,2014-10-24 17:00:00,2014-10-24
90,14102418,25959,170884,0.1519100676482292,2014-10-24 18:00:00,2014-10-24
91,14102419,4083,34163,0.11951526505283494,2014-10-24 19:00:00,2014-10-24
92,14102420,3183,23124,0.1376491956408926,2014-10-24 20:00:00,2014-10-24
93,14102421,2669,20367,0.13104531840722738,2014-10-24 21:00:00,2014-10-24
94,14102422,2273,14876,0.15279645065877925,2014-10-24 22:00:00,2014-10-24
95,14102423,3628,25622,0.1415970650222465,2014-10-24 23:00:00,2014-10-24
96,14102500,13558,73446,0.18459820820739045,2014-10-25 00:00:00,2014-10-25
97,14102501,15120,80637,0.18750697570594144,2014-10-25 01:00:00,2014-10-25
98,14102502,4443,38400,0.115703125,2014-10-25 02:00:00,2014-10-25
99,14102503,9524,67443,0.14121554497872277,2014-10-25 03:00:00,2014-10-25
100,14102504,14149,76816,0.1841933972089148,2014-10-25 04:00:00,2014-10-25
101,14102505,21421,117207,0.18276212171627976,2014-10-25 05:00:00,2014-10-25
102,14102506,8401,51726,0.16241348644782122,2014-10-25 06:00:00,2014-10-25
103,14102507,28116,136398,0.20613205472221,2014-10-25 07:00:00,2014-10-25
104,14102508,27796,149460,0.18597618091797136,2014-10-25 08:00:00,2014-10-25
105,14102509,31437,180060,0.17459180273242253,2014-10-25 09:00:00,2014-10-25
106,14102510,31783,182311,0.17433396778033142,2014-10-25 10:00:00,2014-10-25
107,14102511,35256,195507,0.1803311390384999,2014-10-25 11:00:00,2014-10-25
108,14102512,38454,205914,0.18674786561379994,2014-10-25 12:00:00,2014-10-25
109,14102513,47052,238071,0.19763851960129541,2014-10-25 13:00:00,2014-10-25
110,14102514,45564,242500,0.18789278350515465,2014-10-25 14:00:00,2014-10-25
111,14102515,45535,238427,0.19098088723173132,2014-10-25 15:00:00,2014-10-25
112,14102516,39997,210066,0.19040206411318347,2014-10-25 16:00:00,2014-10-25
113,14102517,37802,205320,0.18411260471459184,2014-10-25 17:00:00,2014-10-25
114,14102518,32777,191373,0.17127285458241237,2014-10-25 18:00:00,2014-10-25
115,14102519,21961,122147,0.17979156262536125,2014-10-25 19:00:00,2014-10-25
116,14102520,17453,100957,0.17287558069277018,2014-10-25 20:00:00,2014-10-25
117,14102521,16201,92722,0.17472660210090377,2014-10-25 21:00:00,2014-10-25
118,14102522,15467,89708,0.17241494627012083,2014-10-25 22:00:00,2014-10-25
119,14102523,14173,76506,0.18525344417431314,2014-10-25 23:00:00,2014-10-25
120,14102600,13156,72185,0.18225393087206485,2014-10-26 00:00:00,2014-10-26
121,14102601,15168,80863,0.18757651830874442,2014-10-26 01:00:00,2014-10-26
122,14102602,19488,100821,0.19329306394501145,2014-10-26 02:00:00,2014-10-26
123,14102603,21766,112022,0.1943011194229705,2014-10-26 03:00:00,2014-10-26
124,14102604,30322,150184,0.20189900388856336,2014-10-26 04:00:00,2014-10-26
125,14102605,33337,171123,0.19481308766209102,2014-10-26 05:00:00,2014-10-26
126,14102606,34030,179145,0.1899578553685562,2014-10-26 06:00:00,2014-10-26
127,14102607,36468,200176,0.18217968187994565,2014-10-26 07:00:00,2014-10-26
128,14102608,35516,188781,0.18813333968990523,2014-10-26 08:00:00,2014-10-26
129,14102609,36301,201902,0.1797951481411774,2014-10-26 09:00:00,2014-10-26
130,14102610,38329,219830,0.1743574580357549,2014-10-26 10:00:00,2014-10-26
131,14102611,43514,239312,0.18182957812395534,2014-10-26 11:00:00,2014-10-26
132,14102612,44378,237815,0.18660723671761664,2014-10-26 12:00:00,2014-10-26
133,14102613,43579,236291,0.18442936887143396,2014-10-26 13:00:00,2014-10-26
134,14102614,43012,233840,0.183937735203558,2014-10-26 14:00:00,2014-10-26
135,14102615,39091,206823,0.18900702533083844,2014-10-26 15:00:00,2014-10-26
136,14102616,38165,201409,0.18949004264953404,2014-10-26 16:00:00,2014-10-26
137,14102617,31703,183154,0.17309477270493684,2014-10-26 17:00:00,2014-10-26
138,14102618,26827,153815,0.1744108181906836,2014-10-26 18:00:00,2014-10-26
139,14102619,20089,116956,0.17176545025479667,2014-10-26 19:00:00,2014-10-26
140,14102620,17340,101676,0.17054172076006138,2014-10-26 20:00:00,2014-10-26
141,14102621,12673,82130,0.15430415195421893,2014-10-26 21:00:00,2014-10-26
142,14102622,14273,88869,0.16060718585783568,2014-10-26 22:00:00,2014-10-26
143,14102623,13631,76770,0.1775563371108506,2014-10-26 23:00:00,2014-10-26
144,14102700,11303,62254,0.18156263051370192,2014-10-27 00:00:00,2014-10-27
145,14102701,15892,75382,0.21081955904592609,2014-10-27 01:00:00,2014-10-27
146,14102702,15756,85828,0.1835764552360535,2014-10-27 02:00:00,2014-10-27
147,14102703,20886,120546,0.17326165944950475,2014-10-27 03:00:00,2014-10-27
148,14102704,25397,136684,0.18580814140645577,2014-10-27 04:00:00,2014-10-27
149,14102705,31683,168542,0.18798281733929822,2014-10-27 05:00:00,2014-10-27
150,14102706,31530,172517,0.18276459711216866,2014-10-27 06:00:00,2014-10-27
151,14102707,30828,162343,0.1898942362775112,2014-10-27 07:00:00,2014-10-27
152,14102708,29939,163554,0.18305269207723443,2014-10-27 08:00:00,2014-10-27
153,14102709,28767,152066,0.18917443741533282,2014-10-27 09:00:00,2014-10-27
154,14102710,17661,101249,0.17443135240841884,2014-10-27 10:00:00,2014-10-27
155,14102711,19572,118272,0.16548295454545456,2014-10-27 11:00:00,2014-10-27
156,14102712,28938,166229,0.17408514759759128,2014-10-27 12:00:00,2014-10-27
157,14102713,33706,173052,0.1947738252086078,2014-10-27 13:00:00,2014-10-27
158,14102714,23064,105178,0.21928540189012913,2014-10-27 14:00:00,2014-10-27
159,14102715,20941,104242,0.2008883175687343,2014-10-27 15:00:00,2014-10-27
160,14102716,34780,179656,0.1935921984236541,2014-10-27 16:00:00,2014-10-27
161,14102717,42111,234152,0.17984471625269055,2014-10-27 17:00:00,2014-10-27
162,14102718,33632,202275,0.16626869361018415,2014-10-27 18:00:00,2014-10-27
163,14102719,26467,157962,0.16755295577417353,2014-10-27 19:00:00,2014-10-27
164,14102720,17047,107591,0.1584426206652973,2014-10-27 20:00:00,2014-10-27
165,14102721,14731,93247,0.15797827275944534,2014-10-27 21:00:00,2014-10-27
166,14102722,15457,94982,0.16273609736581668,2014-10-27 22:00:00,2014-10-27
167,14102723,15555,87207,0.17836870893391585,2014-10-27 23:00:00,2014-10-27
168,14102800,15427,82520,0.18694861851672323,2014-10-28 00:00:00,2014-10-28
169,14102801,20404,102748,0.1985829407871686,2014-10-28 01:00:00,2014-10-28
170,14102802,26133,174692,0.1495947152703043,2014-10-28 02:00:00,2014-10-28
171,14102803,18862,120099,0.15705376397805143,2014-10-28 03:00:00,2014-10-28
172,14102804,25548,140573,0.18174187077176981,2014-10-28 04:00:00,2014-10-28
173,14102805,33943,185896,0.1825913413951887,2014-10-28 05:00:00,2014-10-28
174,14102806,30420,187063,0.16261901070762255,2014-10-28 06:00:00,2014-10-28
175,14102807,35684,210758,0.16931267140511866,2014-10-28 07:00:00,2014-10-28
176,14102808,37915,291763,0.12995136463499485,2014-10-28 08:00:00,2014-10-28
177,14102809,40643,328576,0.12369436599142969,2014-10-28 09:00:00,2014-10-28
178,14102810,36710,258656,0.1419259557095138,2014-10-28 10:00:00,2014-10-28
179,14102811,39367,257891,0.15264976288431933,2014-10-28 11:00:00,2014-10-28
180,14102812,44660,272124,0.16411635871881936,2014-10-28 12:00:00,2014-10-28
181,14102813,59080,432308,0.1366618244399826,2014-10-28 13:00:00,2014-10-28
182,14102814,56588,387453,0.14605126299189838,2014-10-28 14:00:00,2014-10-28
183,14102815,47197,282315,0.16717850627844782,2014-10-28 15:00:00,2014-10-28
184,14102816,47055,283491,0.16598410531551266,2014-10-28 16:00:00,2014-10-28
185,14102817,43246,280835,0.15399077750280413,2014-10-28 17:00:00,2014-10-28
186,14102818,34462,232346,0.1483218992364835,2014-10-28 18:00:00,2014-10-28
187,14102819,28165,201072,0.1400742022758017,2014-10-28 19:00:00,2014-10-28
188,14102820,24367,170081,0.14326703159083026,2014-10-28 20:00:00,2014-10-28
189,14102821,24375,166216,0.14664653222313134,2014-10-28 21:00:00,2014-10-28
190,14102822,17865,124195,0.14384637062683683,2014-10-28 22:00:00,2014-10-28
191,14102823,16506,113551,0.14536199593134363,2014-10-28 23:00:00,2014-10-28
192,14102900,14492,98950,0.1464578069732188,2014-10-29 00:00:00,2014-10-29
193,14102901,17586,118914,0.14788838992885614,2014-10-29 01:00:00,2014-10-29
194,14102902,24295,141174,0.17209259495374502,2014-10-29 02:00:00,2014-10-29
195,14102903,40594,228057,0.1779993598091705,2014-10-29 03:00:00,2014-10-29
196,14102904,24057,160923,0.14949385731063924,2014-10-29 04:00:00,2014-10-29
197,14102905,19194,131740,0.1456960680127524,2014-10-29 05:00:00,2014-10-29
198,14102906,20992,142879,0.1469215210072859,2014-10-29 06:00:00,2014-10-29
199,14102907,34564,228905,0.15099713855092725,2014-10-29 07:00:00,2014-10-29
200,14102908,30808,201567,0.1528424791756587,2014-10-29 08:00:00,2014-10-29
201,14102909,25929,186264,0.13920564360262852,2014-10-29 09:00:00,2014-10-29
202,14102910,31519,224107,0.14064263945347535,2014-10-29 10:00:00,2014-10-29
203,14102911,27081,161531,0.16765202964136916,2014-10-29 11:00:00,2014-10-29
204,14102912,29422,192389,0.1529297413053761,2014-10-29 12:00:00,2014-10-29
205,14102913,30977,193327,0.16023111101915408,2014-10-29 13:00:00,2014-10-29
206,14102914,35753,224237,0.15944291084878945,2014-10-29 14:00:00,2014-10-29
207,14102915,34018,202404,0.16806980099207525,2014-10-29 15:00:00,2014-10-29
208,14102916,28714,177356,0.16190035860078036,2014-10-29 16:00:00,2014-10-29
209,14102917,24476,158732,0.15419701131466876,2014-10-29 17:00:00,2014-10-29
210,14102918,20055,132239,0.1516572266880421,2014-10-29 18:00:00,2014-10-29
211,14102919,18986,125421,0.15137815836263466,2014-10-29 19:00:00,2014-10-29
212,14102920,18730,117017,0.16006221318269995,2014-10-29 20:00:00,2014-10-29
213,14102921,15139,95752,0.15810635809173698,2014-10-29 21:00:00,2014-10-29
214,14102922,15096,90365,0.16705582913738726,2014-10-29 22:00:00,2014-10-29
215,14102923,17564,98358,0.17857215478151242,2014-10-29 23:00:00,2014-10-29
216,14103000,17660,87333,0.2022145122691308,2014-10-30 00:00:00,2014-10-30
217,14103001,18312,91307,0.20055417437874423,2014-10-30 01:00:00,2014-10-30
218,14103002,18370,98459,0.18657512263988055,2014-10-30 02:00:00,2014-10-30
219,14103003,18583,121534,0.15290371418697649,2014-10-30 03:00:00,2014-10-30
220,14103004,36979,347806,0.10632076502418014,2014-10-30 04:00:00,2014-10-30
221,14103005,33053,244765,0.13503973198782507,2014-10-30 05:00:00,2014-10-30
222,14103006,31605,192404,0.1642637367206503,2014-10-30 06:00:00,2014-10-30
223,14103007,29324,155891,0.18810579186739454,2014-10-30 07:00:00,2014-10-30
224,14103008,28639,165420,0.17312900495707895,2014-10-30 08:00:00,2014-10-30
225,14103009,36965,195885,0.18870766010669526,2014-10-30 09:00:00,2014-10-30
226,14103010,34587,215813,0.16026374685491607,2014-10-30 10:00:00,2014-10-30
227,14103011,39338,219810,0.17896365042536735,2014-10-30 11:00:00,2014-10-30
228,14103012,40925,249022,0.16434290946181462,2014-10-30 12:00:00,2014-10-30
229,14103013,42015,250441,0.16776406419076748,2014-10-30 13:00:00,2014-10-30
230,14103014,43806,259187,0.1690131063672175,2014-10-30 14:00:00,2014-10-30
231,14103015,41605,232694,0.17879704676527972,2014-10-30 15:00:00,2014-10-30
232,14103016,39159,211916,0.18478548103965722,2014-10-30 16:00:00,2014-10-30
233,14103017,32928,177578,0.18542837513655971,2014-10-30 17:00:00,2014-10-30
234,14103018,31064,159570,0.19467318418249044,2014-10-30 18:00:00,2014-10-30
235,14103019,26046,134243,0.194021289750676,2014-10-30 19:00:00,2014-10-30
236,14103020,20820,110764,0.1879672095626738,2014-10-30 20:00:00,2014-10-30
237,14103021,20958,112238,0.18672820256953973,2014-10-30 21:00:00,2014-10-30
238,14103022,17328,101250,0.17114074074074073,2014-10-30 22:00:00,2014-10-30
239,14103023,14116,83608,0.16883551813223616,2014-10-30 23:00:00,2014-10-30
